"CODE","ja"
"FOREST-BRUSH-MODDESCRIPTION","混合したツリーのブラシを作成・編集・保存できます"
"FOREST-BRUSH-MODNAME","Forest Brush"
"FOREST-BRUSH-BRUSH","ブラシ"
"FOREST-BRUSH-SELECT","ブラシを選択"
"FOREST-BRUSH-CREATE","新規ブラシを作成"
"FOREST-BRUSH-DELETE","現在のブラシを削除"
"FOREST-BRUSH-SEARCH","検索"
"FOREST-BRUSH-PROBABILITY","出現率"
"FOREST-BRUSH-TOGGLE-EDIT","ツリーパネルを切り替え"
"FOREST-BRUSH-TOGGLE-OPTIONS","ブラシオプションのパネルを切り替え"
"FOREST-BRUSH-TOGGLE-SELECTBRUSHSHAPE","ブラシ形状のパネルを切り替え"
"FOREST-BRUSH-BRUSH-OPTIONS-STRENGTH","強度"
"FOREST-BRUSH-BRUSH-OPTIONS-DENSITY","密度"
"FOREST-BRUSH-BRUSH-OPTIONS-SIZE","サイズ"
"FOREST-BRUSH-BRUSH-OPTIONS-AUTODENSITY"," 密度の自動調整"
"FOREST-BRUSH-BRUSH-OPTIONS-RESET","リセット"
"FOREST-BRUSH-OPTIONS-RESET","全てのオプションをリセット"
"FOREST-BRUSH-OPTIONS-SHOWMESHDATA","ツールチップにツリーのメッシュとテクスチャ情報を表示"
"FOREST-BRUSH-DATA-NAME","名前"
"FOREST-BRUSH-DATA-AUTHOR","作者"
"FOREST-BRUSH-DATA-MESH","メッシュ"
"FOREST-BRUSH-DATA-MESHNOTREADABLE","読込不可"
"FOREST-BRUSH-DATA-TRIANGLES","Triangles"
"FOREST-BRUSH-DATA-TEXTURE","テクスチャ"
"FOREST-BRUSH-DATA-PIXELS","ピクセル"
"FOREST-BRUSH-OPTIONS-SORTING","ツリーのソート方法"
"FOREST-BRUSH-OPTIONS-SORTING-ORDER","ソートの順序"
"FOREST-BRUSH-OPTIONS-SORTING-ASCENDING","昇順"
"FOREST-BRUSH-OPTIONS-SORTING-DESCENDING","降順"
"FOREST-BRUSH-OPTIONS-FILTERING-LOGIC","検索方法"
"FOREST-BRUSH-OPTIONS-FILTERING-AND","AND (両方で一致)"
"FOREST-BRUSH-OPTIONS-FILTERING-OR","OR (いずれかで一致)"
"FOREST-BRUSH-OPTIONS-FILTERING-SIMPLE","シンプル(ツリー名で検索して高速化)"
"FOREST-BRUSH-OPTIONS-NEWBRUSH","新しいブラシの作成時"
"FOREST-BRUSH-OPTIONS-NEWBRUSH-CLEAR","空のブラシで開始"
"FOREST-BRUSH-OPTIONS-NEWBRUSH-KEEP","最後のブラシ情報を保持"
"FOREST-BRUSH-OPTIONS-IGNORE-VANILLA","バニラのツリーを非表示"
"FOREST-BRUSH-OPTIONS-SINGLETREE-EFFECT","ツリーの配置時に、「音と埃」のエフェクトを再生"
"FOREST-BRUSH-OPTIONS-CHARGE-MONEY","ツリーの配置に費用が掛かる"
"FOREST-BRUSH-MODAL-WARNING","警告！"
"FOREST-BRUSH-MODAL-LIMITREACHED-TITLE","ツリーの設置制限に到達！"
"FOREST-BRUSH-MODAL-LIMITREACHED-MESSAGE-ONE","ブラシのツリー数が100本に達しました。追加したい場合はツリーを削除・整理してください。"
"FOREST-BRUSH-MODAL-LIMITREACHED-MESSAGE-ALL","ブラシのツリー数が100本に達しました。一部のツリーが追加できません。追加したい場合は、一部のツリーを削除して下さい"
"FOREST-BRUSH-PROMPT-NEW","ブラシ名"
"FOREST-BRUSH-RENAME-BRUSH","テキストエリアを使用して、現在のブラシ名を変更します"
"FOREST-BRUSH-PROMPT-DELETE","このブラシを完全に削除してよろしいですか？"
"FOREST-BRUSH-RENAME-ERROR","この名前のブラシは、既に存在します！"
"FOREST-BRUSH-PROMPT-YES","はい"
"FOREST-BRUSH-PROMPT-NO","いいえ"
"FOREST-BRUSH-PROMPT-OK","OK"
"FOREST-BRUSH-PROMPT-CANCEL","取消"
"FOREST-BRUSH-KEYBIND-TOGGLE-TOOL","Forest Brushのパネルを切り替え"
"FOREST-BRUSH-TOOLERROR-BRUSHEMPTY","ブラシにツリーがありません"
"FOREST-BRUSH-TUTORIAL","Thanks for subscribing to Forest Brush Revisted.\r\n\r\nClick on the 'Trees' button to select the trees for your brush.\r\nUse the checkboxes to add/remove trees to the brush.\r\nCTRL + click on a checkbox to select/deselect all trees.\r\n\r\nYou can have as many different brushes as you like, just add more with the 'plus' button.\r\n\r\nUse the searchbox to find specific trees.\r\nClick on the 'Gear' button to edit your brush settings.\r\nHere you can change the size, strength and density of your brush.\r\nVisit the mod's workshop page for detailed instructions."
"NAME","日本語"
"GROUP_LOCALISATION","翻訳"
"dropdownLocalization","言語"
"tabGeneral","全般"
"tabSorting","並べ替え/検索"
"tabMaintenance","メンテナンス"
"groupMainPanel","メインパネル"
"groupBehaviour","動作方法"
"groupSorting","並べ替え"
"groupSearching","検索"
"groupMaintenance","メンテナンス"
"buttonResetPanelPosition","パネルの位置をリセット"
